Epoch 1, Error: 56560.9486, Accuracy: 82.89%
Epoch 2, Error: 25647.3292, Accuracy: 90.91%
Epoch 3, Error: 21897.3135, Accuracy: 92.51%
Epoch 4, Error: 19447.1501, Accuracy: 93.27%
Epoch 5, Error: 17700.0375, Accuracy: 93.82%
Epoch 6, Error: 16514.9953, Accuracy: 94.32%
Epoch 7, Error: 15406.4896, Accuracy: 94.71%
Epoch 8, Error: 14568.6953, Accuracy: 95.05%
Epoch 9, Error: 13682.5994, Accuracy: 95.25%
Epoch 10, Error: 12942.6727, Accuracy: 95.46%
Epoch 11, Error: 12418.6199, Accuracy: 95.66%
Epoch 12, Error: 11856.9739, Accuracy: 95.88%
Epoch 13, Error: 11402.5486, Accuracy: 96.00%
Epoch 14, Error: 10912.2972, Accuracy: 96.15%
Epoch 15, Error: 10561.1100, Accuracy: 96.30%
Epoch 16, Error: 10183.4762, Accuracy: 96.44%
Epoch 17, Error: 9889.5875, Accuracy: 96.53%
Epoch 18, Error: 9565.5994, Accuracy: 96.66%
Epoch 19, Error: 9298.6551, Accuracy: 96.77%
Epoch 20, Error: 9039.9689, Accuracy: 96.87%
Epoch 21, Error: 8810.1894, Accuracy: 96.95%
Epoch 22, Error: 8632.7947, Accuracy: 97.05%
Epoch 23, Error: 8353.7252, Accuracy: 97.13%
Epoch 24, Error: 8135.7176, Accuracy: 97.21%
Epoch 25, Error: 7982.4958, Accuracy: 97.26%
